FORMAT: fid,endPt1lat,endPt1lon,endPt2lat,endPt2lon,name
61,40.741668,-74.001129,40.742863,-74.003969,W 17th St
16,40.741668,-74.001129,40.742254,-74.000703,8th Ave
110,40.745207,-74.002265,40.744622,-74.002691,9th Ave
127,40.742839,-74.000275,40.744035,-74.003116,W 19th St
18,40.742839,-74.000275,40.743425,-73.999848,8th Ave
111,40.744622,-74.002691,40.744035,-74.003116,9th Ave
67,40.744009,-73.999422,40.745207,-74.002265,W 21st St
2,40.743448,-74.003542,40.742254,-74.000703,W 18th St
120,40.742284,-74.004416,40.74108,-74.001555,W 16th St
130,40.744622,-74.002691,40.743425,-73.999848,W 20th St
19,40.743425,-73.999848,40.744009,-73.999422,8th Ave
113,40.743448,-74.003542,40.742863,-74.003969,9th Ave
17,40.742254,-74.000703,40.742839,-74.000275,8th Ave
114,40.742863,-74.003969,40.742284,-74.004416,9th Ave
112,40.744035,-74.003116,40.743448,-74.003542,9th Ave
15,40.74108,-74.001555,40.741668,-74.001129,8th Ave
