FORMAT: fid,endPt1lat,endPt1lon,endPt2lat,endPt2lon,name
271,39.953902,-75.194623,39.954027,-75.195616,Sansom St
250,39.954149,-75.196603,39.953387,-75.196762,S 37th St
227,39.951621,-75.192343,39.951416,-75.192386,S 34th St
151,39.947705,-75.198682,39.947747,-75.198552,Curie Blvd
224,39.95327,-75.19201,39.952814,-75.192096,S 34th St
25,39.955593,-75.189489,39.955843,-75.191464,Market Street
159,39.955884,-75.198151,39.955143,-75.198311,S 38th St
141,39.947561,-75.191317,39.947653,-75.191606,Civic Center Blvd
380,39.948888,-75.189673,39.95032,-75.191689,South St
26,39.955843,-75.191464,39.955883,-75.191734,Market Street
156,39.956654,-75.198007,39.956205,-75.198102,S 38th St
100,39.955143,-75.198311,39.955341,-75.19994,Chestnut St
248,39.955654,-75.196293,39.954907,-75.196445,S 37th St
320,39.950998,-75.197053,39.951021,-75.197243,Spruce St
394,39.949445,-75.192645,39.949156,-75.192743,S 33rd St
160,39.955143,-75.198311,39.954379,-75.198469,S 38th St
236,39.949238,-75.192866,39.948868,-75.192919,S 34th St
400,39.949835,-75.192424,39.949869,-75.192473,S 33rd St
481,39.955383,-75.19409,39.955398,-75.194218,Ludlow St
173,39.952092,-75.200659,39.951458,-75.200801,S 39th St
154,39.947874,-75.198056,39.948798,-75.196007,Curie Blvd
511,39.949428,-75.199632,39.949307,-75.199592,S University Ave
274,39.954092,-75.196134,39.954149,-75.196603,Sansom St
486,39.955654,-75.196293,39.955884,-75.198151,Ludlow St
247,39.956429,-75.196121,39.955654,-75.196293,S 37th St
29,39.956429,-75.196121,39.956654,-75.198007,Market Street
385,39.954074,-75.189719,39.952554,-75.190034,S 33rd St
153,39.947781,-75.198376,39.947874,-75.198056,Curie Blvd
389,39.951407,-75.190424,39.95032,-75.191689,S 33rd St
258,39.952494,-75.198884,39.952269,-75.197007,Locust Walk
98,39.954784,-75.195445,39.954907,-75.196445,Chestnut St
480,39.95534,-75.193757,39.955383,-75.19409,Ludlow St
164,39.952494,-75.198884,39.9512635,-75.1991615,S 38th St
96,39.954459,-75.192822,39.954663,-75.194467,Chestnut St
161,39.954379,-75.198469,39.953708,-75.198612,S 38th St
245,39.953142,-75.194786,39.952032,-75.19505,S 36th St
242,39.954663,-75.194467,39.953902,-75.194623,S 36th St
168,39.956088,-75.199786,39.955341,-75.19994,S 39th St
220,39.955843,-75.191464,39.955082,-75.191622,S 34th St
235,39.949402,-75.192804,39.949238,-75.192866,S 34th St
140,39.947641,-75.191085,39.947561,-75.191317,Civic Center Blvd
30,39.956654,-75.198007,39.95686,-75.199622,Market Street
145,39.948633,-75.192462,39.948658,-75.192906,Civic Center Blvd
167,39.95686,-75.199622,39.956088,-75.199786,S 39th St
182,39.953624,-75.198648,39.95382,-75.20026,Walnut St
514,39.948961,-75.199324,39.948606,-75.199104,S University Ave
477,39.954819,-75.189603,39.955082,-75.191622,Ludlow St
401,39.949869,-75.192473,39.949865,-75.192566,S 33rd St
232,39.949787,-75.192646,39.94966,-75.192674,S 34th St
97,39.954663,-75.194467,39.954784,-75.195445,Chestnut St
171,39.95382,-75.20026,39.952695,-75.200525,S 39th St
272,39.954027,-75.195616,39.954078,-75.196025,Sansom St
269,39.953567,-75.191943,39.953753,-75.193418,Sansom St
229,39.950446,-75.192587,39.949935,-75.192607,S 34th St
268,39.953468,-75.193453,39.953753,-75.193418,Moravian St
265,39.949363,-75.196064,39.948351,-75.198323,Guardian Dr
28,39.95618,-75.194152,39.956429,-75.196121,Market Street
402,39.949865,-75.192566,39.949838,-75.192633,S 33rd St
383,39.955593,-75.189489,39.954819,-75.189603,S 33rd St
512,39.949307,-75.199592,39.949211,-75.199545,S University Ave
391,39.950048,-75.192054,39.949745,-75.192402,S 33rd St
487,39.955884,-75.198151,39.956088,-75.199786,Ludlow St
139,39.948638,-75.189965,39.947641,-75.191085,Civic Center Blvd
233,39.94966,-75.192674,39.949557,-75.192723,S 34th St
384,39.954819,-75.189603,39.954074,-75.189719,S 33rd St
508,39.9497764,-75.1996422,39.9496317,-75.1996593,S University Ave
243,39.953902,-75.194623,39.953471,-75.194715,S 36th St
165,39.9512635,-75.1991615,39.950237,-75.199522,S 38th St
513,39.949211,-75.199545,39.948961,-75.199324,S University Ave
222,39.954329,-75.191779,39.953567,-75.191943,S 34th St
483,39.955406,-75.194308,39.955465,-75.194768,Ludlow St
172,39.952695,-75.200525,39.952092,-75.200659,S 39th St
237,39.948868,-75.192919,39.948724,-75.192898,S 34th St
94,39.954329,-75.191779,39.954366,-75.192062,Chestnut St
273,39.954078,-75.196025,39.954092,-75.196134,Sansom St
386,39.952554,-75.190034,39.952379,-75.190072,S 33rd St
157,39.956205,-75.198102,39.956112,-75.198111,S 38th St
396,39.948817,-75.19281,39.948724,-75.192898,S 33rd St
230,39.949935,-75.192607,39.949838,-75.192633,S 34th St
166,39.950237,-75.199522,39.9500133,-75.1995821,S 38th St
482,39.955398,-75.194218,39.955406,-75.194308,Ludlow St
179,39.953142,-75.194786,39.953317,-75.196194,Walnut St
388,39.951555,-75.190252,39.951407,-75.190424,S 33rd St
267,39.95327,-75.19201,39.953468,-75.193453,Moravian St
241,39.955059,-75.194381,39.954663,-75.194467,S 36th St
255,39.952269,-75.197007,39.951021,-75.197243,S 37th St
321,39.951021,-75.197243,39.95103,-75.197323,Spruce St
93,39.954074,-75.189719,39.954329,-75.191779,Chestnut St
95,39.954366,-75.192062,39.954459,-75.192822,Chestnut St
507,39.951441,-75.190723,39.951621,-75.192343,Smith Walk
246,39.952032,-75.19505,39.950781,-75.195322,S 36th St
387,39.952379,-75.190072,39.951555,-75.190252,S 33rd St
475,39.949728,-75.195577,39.950781,-75.195322,36th St
221,39.955082,-75.191622,39.954329,-75.191779,S 34th St
392,39.949745,-75.192402,39.949679,-75.192478,S 33rd St
240,39.955238,-75.19435,39.955059,-75.194381,S 36th St
223,39.953567,-75.191943,39.95327,-75.19201,S 34th St
478,39.955082,-75.191622,39.955109,-75.191904,Ludlow St
169,39.955341,-75.19994,39.954582,-75.200098,S 39th St
234,39.949557,-75.192723,39.949402,-75.192804,S 34th St
393,39.949679,-75.192478,39.949445,-75.192645,S 33rd St
181,39.953387,-75.196762,39.953624,-75.198648,Walnut St
506,39.951407,-75.190424,39.951441,-75.190723,Smith Walk
226,39.952316,-75.192199,39.951621,-75.192343,S 34th St
323,39.9512635,-75.1991615,39.951458,-75.200801,Spruce St
275,39.954149,-75.196603,39.954379,-75.198469,Sansom St
158,39.956112,-75.198111,39.955884,-75.198151,S 38th St
